0.01	0.01	0.0	0.98	
0.0	0.0	1.0	0.0	
0.0	0.97	0.0	0.03	
0.97	0.0	0.02	0.01	
0.96	0.02	0.01	0.01	
0.94	0.01	0.05	0.0	
0.98	0.01	0.01	0.0	
0.0	0.98	0.01	0.01	
0.31	0.0	0.69	0.0	
0.93	0.05	0.02	0.0	
0.01	0.0	0.99	0.0	
0.97	0.0	0.02	0.01	
0.98	0.02	0.0	0.0	
0.97	0.01	0.02	0.0	
0.02	0.0	0.98	0.0	
0.02	0.97	0.01	0.0	
0.0	0.98	0.0	0.02	
0.02	0.91	0.0	0.07	
0.0	0.01	0.0	0.99	
0.01	0.97	0.0	0.02	
0.0	0.98	0.01	0.01	
0.99	0.01	0.0	0.0	
0.01	0.99	0.0	0.0	
0.01	0.95	0.01	0.03	
0.0	0.01	0.99	0.0	
0.01	0.97	0.01	0.01	
0.01	0.93	0.0	0.06	
0.98	0.0	0.01	0.01	
0.03	0.01	0.0	0.96	
0.02	0.94	0.0	0.04	
0.0	1.0	0.0	0.0	
0.99	0.0	0.01	0.0	
0.04	0.01	0.93	0.02	
0.82	0.04	0.13	0.0	
0.01	0.0	0.99	0.0	
0.01	0.05	0.0	0.94	
0.01	0.0	0.99	0.0	
0.01	0.97	0.0	0.02	
0.02	0.9	0.01	0.07	
0.0	0.0	1.0	0.0	
0.0	1.0	0.0	0.0	
0.01	0.04	0.0	0.95	
0.01	0.99	0.0	0.0	
0.0	0.07	0.0	0.93	
0.04	0.88	0.05	0.03	
0.98	0.0	0.01	0.01	
0.02	0.0	0.98	0.0	
0.01	0.96	0.0	0.03	
0.01	0.01	0.97	0.01	
0.0	0.99	0.01	0.0	
0.0	0.01	0.01	0.98	
0.0	0.01	0.99	0.0	
0.02	0.0	0.98	0.0	
0.02	0.04	0.01	0.93	
0.98	0.02	0.0	0.0	
0.01	0.0	0.99	0.0	
0.09	0.0	0.91	0.0	
0.0	0.96	0.04	0.0	
0.99	0.0	0.0	0.01	
0.01	0.0	0.99	0.0	
0.98	0.01	0.01	0.0	
0.99	0.0	0.0	0.01	
0.0	0.03	0.0	0.97	
0.0	0.01	0.98	0.01	
0.0	0.96	0.0	0.04	
0.01	0.03	0.01	0.95	
0.01	0.01	0.98	0.0	
0.0	0.01	0.01	0.98	
0.0	0.05	0.01	0.94	
0.34	0.01	0.64	0.01	
0.03	0.97	0.0	0.0	
0.94	0.0	0.06	0.0	
0.0	0.98	0.0	0.02	
0.99	0.0	0.0	0.01	
0.01	0.02	0.0	0.97	
0.98	0.0	0.02	0.0	
0.01	0.98	0.0	0.01	
0.03	0.04	0.01	0.92	
0.0	0.99	0.01	0.0	
1.0	0.0	0.0	0.0	
0.97	0.01	0.01	0.01	
0.01	0.04	0.0	0.95	
0.0	0.04	0.0	0.96	
0.95	0.01	0.04	0.0	
0.01	0.94	0.01	0.04	
0.02	0.0	0.98	0.0	
0.0	0.96	0.0	0.04	
0.01	0.0	0.99	0.0	
0.96	0.0	0.03	0.01	
0.05	0.0	0.94	0.01	
